Sample,SRA Accession,Collection Date,Number of reads R1,Number of reads R2,Total reads,Average Read Length,Expected coverage based on number of reads,,,
UT-UPHL-250418544132,SRR33380215,2025-03-25,"1,242,011","1,242,011","2,484,022",151,"12,503",,,
UT-UPHL-250418563842,SRR33380210,2025-03-22,"1,583,487","1,583,487","3,166,974",151,"15,940",,,
UT-UPHL-250418595714,SRR33380244,2025-04-05,"1,577,222","1,577,222","3,154,444",151,"15,877",,,
UT-UPHL-250418607310,SRR33380268,2025-03-25,"143,449","143,449","286,898",151,"1,444",,,
UT-UPHL-250418610486,SRR33380229,2025-03-26,"84,060","84,060","168,120",151,846,,,
UT-UPHL-250418626416,SRR33380217,2025-03-26,"1,379,235","1,379,235","2,758,470",151,"13,884",,,
UT-UPHL-250418629957,SRR33380203,2025-04-09,"1,388,946","1,388,946","2,777,892",151,"13,982",,,
UT-UPHL-250418639061,SRR33380228,2025-04-06,"1,831,466","1,831,466","3,662,932",151,"18,437",,,
UT-UPHL-250418640084,SRR33380267,2025-03-25,"56,393","56,393","112,786",151,568,,,
UT-UPHL-250418662657,SRR33380248,2025-03-28,"692,198","692,198","1,384,396",151,"6,968",,,
UT-UPHL-250418670837,SRR33380208,2025-04-09,"952,921","952,921","1,905,842",151,"9,593",,,
UT-UPHL-250418751790,SRR33380209,2025-03-22,"698,490","698,490","1,396,980",151,"7,031",,,
UT-UPHL-250418795673,SRR33380240,2025-03-26,"542,207","542,207","1,084,414",151,"5,458",,,
UT-UPHL-250418801960,SRR33380264,2025-03-26,"1,437,518","1,437,518","2,875,036",151,"14,471",,,
UT-UPHL-250418830725,SRR33380226,2025-04-05,"2,044,721","2,044,721","4,089,442",151,"20,584",,,
UT-UPHL-250418838622,SRR33380259,2025-03-22,"76,194","76,194","152,388",151,767,,,
UT-UPHL-250418842351,SRR33380238,2025-04-07,"565,941","565,941","1,131,882",151,"5,697",,,
UT-UPHL-250418882521,SRR33380211,2025-03-22,"1,199,635","1,199,635","2,399,270",151,"12,076",,,
UT-UPHL-250418900488,SRR33380200,2025-04-10,"1,054,147","1,054,147","2,108,294",151,"10,612",,,
UT-UPHL-250418934524,SRR33380234,2025-04-07,"1,526,673","1,526,673","3,053,346",151,"15,369",,,
UT-UPHL-250418958243,SRR33380247,2025-03-31,"1,250,555","1,250,555","2,501,110",151,"12,589",,,
UT-UPHL-250418997343,SRR33380223,2025-04-01,"610,998","610,998","1,221,996",151,"6,151",,,
